datetime,Open,High,Low,Close,Volume
2018-03-18 22:00:00+00:00,1313.17,1319.6,1307.75,1316.85,0.0
2018-03-19 22:00:00+00:00,1316.57,1318.24,1307.17,1311.09,0.0
2018-03-20 22:00:00+00:00,1310.68,1336.6,1309.81,1332.0,0.0
2018-03-21 22:00:00+00:00,1331.69,1334.86,1324.78,1328.88,0.0
2018-03-22 22:00:00+00:00,1329.15,1350.19,1328.95,1347.02,0.0
2018-03-25 22:00:00+00:00,1347.12,1355.89,1343.46,1353.44,0.0
2018-03-26 22:00:00+00:00,1353.41,1356.81,1339.83,1344.64,0.0
2018-03-27 22:00:00+00:00,1345.13,1347.01,1323.44,1324.72,0.0
2018-03-28 22:00:00+00:00,1324.7,1328.31,1321.16,1325.11,0.0
2018-04-01 22:00:00+00:00,1326.05,1344.84,1324.8,1341.25,0.0
2018-04-02 22:00:00+00:00,1340.48,1342.46,1328.87,1332.73,0.0
2018-04-03 22:00:00+00:00,1332.53,1348.21,1331.48,1333.18,0.0
2018-04-04 22:00:00+00:00,1332.78,1334.86,1322.72,1326.52,0.0
2018-04-05 22:00:00+00:00,1326.08,1335.47,1319.75,1333.14,0.0
2018-04-08 22:00:00+00:00,1333.73,1337.96,1326.86,1336.22,0.0
2018-04-09 22:00:00+00:00,1336.11,1342.54,1331.03,1339.52,0.0
2018-04-10 22:00:00+00:00,1339.26,1365.25,1339.02,1353.14,0.0
2018-04-11 22:00:00+00:00,1352.69,1353.15,1333.72,1334.96,0.0
2018-04-12 22:00:00+00:00,1334.62,1347.15,1333.28,1345.29,0.0
2018-04-15 22:00:00+00:00,1346.43,1350.49,1340.15,1345.78,0.0
2018-04-16 22:00:00+00:00,1345.98,1349.38,1337.65,1347.23,0.0
2018-04-17 22:00:00+00:00,1347.39,1355.65,1342.27,1349.26,0.0
2018-04-18 22:00:00+00:00,1349.19,1354.65,1340.91,1345.42,0.0
2018-04-19 22:00:00+00:00,1345.64,1346.27,1334.94,1335.44,0.0
2018-04-22 22:00:00+00:00,1334.02,1335.45,1322.08,1324.69,0.0
2018-04-23 22:00:00+00:00,1324.4,1332.64,1322.05,1330.36,0.0
2018-04-24 22:00:00+00:00,1329.96,1332.04,1318.78,1323.26,0.0
2018-04-25 22:00:00+00:00,1322.57,1326.58,1315.27,1316.88,0.0
2018-04-26 22:00:00+00:00,1316.59,1325.2,1315.37,1323.31,0.0
2018-04-29 22:00:00+00:00,1322.5,1325.93,1310.18,1315.22,0.0
2018-04-30 22:00:00+00:00,1314.75,1316.33,1301.7,1303.92,0.0
2018-05-01 22:00:00+00:00,1303.48,1313.47,1303.43,1304.71,0.0
2018-05-02 22:00:00+00:00,1304.56,1318.07,1304.4,1312.13,0.0
2018-05-03 22:00:00+00:00,1311.78,1315.31,1307.92,1314.93,0.0
2018-05-06 22:00:00+00:00,1314.94,1318.91,1310.19,1314.11,0.0
2018-05-07 22:00:00+00:00,1313.35,1317.79,1306.06,1314.32,0.0
2018-05-08 22:00:00+00:00,1314.52,1317.41,1304.26,1312.66,0.0
2018-05-09 22:00:00+00:00,1312.51,1322.86,1310.71,1321.25,0.0
2018-05-10 22:00:00+00:00,1321.16,1325.92,1317.2,1318.0,0.0
2018-05-13 22:00:00+00:00,1318.12,1322.29,1312.94,1313.32,0.0
2018-05-14 22:00:00+00:00,1312.49,1314.85,1288.67,1290.53,0.0
2018-05-15 22:00:00+00:00,1290.07,1296.88,1286.36,1290.7,0.0
2018-05-16 22:00:00+00:00,1290.47,1294.37,1285.04,1290.81,0.0
2018-05-17 22:00:00+00:00,1290.65,1294.17,1286.02,1293.0,0.0
2018-05-20 22:00:00+00:00,1290.52,1293.12,1282.04,1292.62,0.0
2018-05-21 22:00:00+00:00,1292.7,1296.14,1287.91,1291.29,0.0
